Steps,Policy/Entropy,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1790000,1.7518636,189.79166666666666,0.0,0.3310082,1.2265431503860318,1.2265431503860318,1.0
1800000,1.7126819,206.71698113207546,0.0,0.31547493,1.3964342784206822,1.3964342784206822,1.0
1810000,1.739435,194.3469387755102,0.0,0.34694156,1.2565711420029402,1.2565711420029402,1.0
1820000,1.7517726,225.6818181818182,0.0,0.3464433,1.8122786199269088,1.8122786199269088,1.0
1830000,1.7403939,213.3125,0.0,0.31854072,1.567337858180205,1.567337858180205,1.0
1840000,1.7327983,186.0185185185185,0.0,0.3797228,1.1281966048258323,1.1281966048258323,1.0
1850000,1.7343135,166.53571428571428,0.0,0.39151835,0.9306353226042631,0.9306353226042631,1.0
1860000,1.7634009,205.46,0.0,0.7709903,1.403936312198639,1.403936312198639,1.0
1870000,1.7816694,225.61904761904762,0.0,0.78975326,1.5856442549606649,1.5856442549606649,1.0
1880000,1.7773873,232.83333333333334,0.0,0.9470535,1.787876027661401,1.787876027661401,1.0
1890000,1.789338,213.0655737704918,0.0,0.92229587,1.5601130881092764,1.5601130881092764,1.0
1900000,1.7885894,213.0909090909091,0.0,0.7653054,1.4899963164329528,1.4899963164329528,1.0
1910000,1.777397,228.13953488372093,0.0,0.74038047,1.8202468933061111,1.8202468933061111,1.0
1920000,1.7702965,187.6326530612245,0.0,0.69874996,1.221543134475241,1.221543134475241,1.0
1930000,1.7527046,237.45238095238096,0.0,0.72239625,1.84501434273498,1.84501434273498,1.0
1940000,1.7732692,216.69565217391303,0.0,0.71649873,1.6740220989222112,1.6740220989222112,1.0
1950000,1.75968,218.54347826086956,0.0,0.67905,1.6178873537675194,1.6178873537675194,1.0
1960000,1.75184,192.0,0.0,0.64449966,1.3707438065953876,1.3707438065953876,1.0
1970000,1.7494676,231.93333333333334,0.0,0.6012217,1.8256359689765507,1.8256359689765507,1.0
1980000,1.7261332,189.33333333333334,0.0,0.62020165,1.3082768916291125,1.3082768916291125,1.0
1990000,1.7240133,253.7111111111111,0.0,0.58995986,2.101267127858268,2.101267127858268,1.0
2000000,1.7437972,240.87179487179486,0.0,0.65826297,2.027708113957674,2.027708113957674,1.0
2010000,1.7456796,170.96153846153845,1.0,0.61331904,1.0759541535606751,1.0759541535606751,1.0
2020000,1.7301605,221.0,1.0,0.5915637,1.549045248299229,1.549045248299229,1.0
2030000,1.720197,176.20454545454547,1.0,0.6016754,1.2443568091029706,1.2443568091029706,1.0
2040000,1.7257608,222.98,1.0,0.59146476,1.7064323654770852,1.7064323654770852,1.0
2050000,1.7411793,193.0,1.0,0.53492856,1.2947296988145978,1.2947296988145978,1.0
2060000,1.7356668,202.93617021276594,1.0,0.54699546,1.4115067187775956,1.4115067187775956,1.0
2070000,1.7557166,199.53191489361703,1.0,0.53099495,1.2310253294805686,1.2310253294805686,1.0
2080000,1.7521136,232.88095238095238,1.0,0.5682737,1.8022432086013613,1.8022432086013613,1.0
2090000,1.7738386,216.23076923076923,1.0,0.55906016,1.5235695460667977,1.5235695460667977,1.0
2100000,1.755604,214.34782608695653,1.0,0.56838953,1.458164793252945,1.458164793252945,1.0
2110000,1.7332314,217.23809523809524,1.0,0.5265342,1.7290282602920088,1.7290282602920088,1.0
2120000,1.7260678,219.6590909090909,1.0,0.56733006,1.6206821778958493,1.6206821778958493,1.0
2130000,1.726618,220.4255319148936,1.0,0.60566396,1.6406769530570253,1.6406769530570253,1.0
2140000,1.7129074,230.97674418604652,1.0,0.602101,1.7684003835500672,1.7684003835500672,1.0
2150000,1.6651763,238.425,1.0,0.6261962,1.8359853893518447,1.8359853893518447,1.0
2160000,1.6646361,183.65454545454546,1.0,0.58461916,1.2066039485010234,1.2066039485010234,1.0
2170000,1.5979736,263.5,1.0,0.7688688,2.2525737831989923,2.2525737831989923,1.0
2180000,1.6112732,289.275,1.0,0.77556056,2.62121590360617,2.62121590360617,1.0
2190000,1.6040394,184.3846153846154,2.0,0.8768866,1.2740852922201156,1.2740852922201156,1.0
2200000,1.6213272,249.6590909090909,2.0,0.8683729,1.9997640441764484,1.9997640441764484,1.0
2210000,1.5804249,210.3913043478261,2.0,0.8405742,1.4629394710063934,1.4629394710063934,1.0
2220000,1.5977491,178.5483870967742,2.0,0.70606434,1.0290461583215682,1.0290461583215682,1.0
2230000,1.5849876,183.4318181818182,2.0,0.68717384,1.2337914327780406,1.2337914327780406,1.0
2240000,1.573106,213.77551020408163,2.0,0.718642,1.6279481876155604,1.6279481876155604,1.0
2250000,1.5563219,256.9047619047619,2.0,0.6502055,1.9713094959204847,1.9713094959204847,1.0
2260000,1.5693305,199.32075471698113,2.0,0.626747,1.271886020898819,1.271886020898819,1.0
2270000,1.5294043,241.97142857142856,2.0,0.58550084,2.0447850701136465,2.0447850701136465,1.0
2280000,1.5403394,236.62222222222223,2.0,0.6238451,1.7657830002515211,1.7657830002515211,1.0
2290000,1.5404993,238.62857142857143,2.0,0.61983776,1.9178860996450697,1.9178860996450697,1.0
2300000,1.5373663,262.025,2.0,0.6449503,2.1426209062337875,2.1426209062337875,1.0
2310000,1.5241089,214.3921568627451,2.0,0.55385154,1.6724465443537786,1.6724465443537786,1.0
2320000,1.5117095,200.47169811320754,2.0,0.5339505,1.3798238535722096,1.3798238535722096,1.0
2330000,1.536671,217.23684210526315,2.0,0.5203674,1.6584055454303057,1.6584055454303057,1.0
2340000,1.5397167,291.52777777777777,2.0,0.5287239,2.7117172049151526,2.7117172049151526,1.0
2350000,1.57019,228.33333333333334,2.0,0.5723338,1.7037538393119047,1.7037538393119047,1.0
2360000,1.5713825,231.1219512195122,2.0,0.58966124,1.7221003487706183,1.7221003487706183,1.0
2370000,1.5577513,271.62857142857143,2.0,0.6425004,2.4469393702844777,2.4469393702844777,1.0
2380000,1.5489751,310.0,2.0,0.6356503,3.0614187157515325,3.0614187157515325,1.0
2390000,1.5633527,295.56666666666666,2.0,0.6319138,2.5653617737754697,2.5653617737754697,1.0
2400000,1.56793,289.375,2.0,0.6239103,2.560025508701801,2.560025508701801,1.0
2410000,1.5744447,222.68421052631578,2.0,0.59891856,1.7240424454212189,1.7240424454212189,1.0
2420000,1.590168,267.6388888888889,2.0,0.6162509,2.223092390073312,2.223092390073312,1.0
2430000,1.5746508,352.35714285714283,2.0,0.6363071,3.476156136503926,3.476156136503926,1.0
2440000,1.5860133,280.1025641025641,2.0,0.61450404,2.395360446721315,2.395360446721315,1.0
2450000,1.5915136,342.05263157894734,2.0,0.6342619,2.713933867436868,2.713933867436868,1.0
2460000,1.5989959,397.57142857142856,2.0,0.64728993,4.137557868446622,4.137557868446622,1.0
