Steps,Policy/Entropy,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
790000,1.6859784,107.92307692307692,0.0,-0.15472995,0.011037476442672394,0.011037476442672394,1.0
800000,1.6629049,105.05376344086021,0.0,-0.14138599,-0.031148825871183516,-0.031148825871183516,1.0
810000,1.6885048,116.67045454545455,0.0,-0.1124555,0.07592741213738918,0.07592741213738918,1.0
820000,1.659149,108.97674418604652,0.0,-0.100038595,0.0008745290512262388,0.0008745290512262388,1.0
830000,1.6840501,122.6,0.0,-0.102419056,0.16079508315158797,0.16079508315158797,1.0
840000,1.7072079,132.84810126582278,0.0,-0.078955926,0.2549951490014791,0.2549951490014791,1.0
850000,1.7037662,113.27272727272727,0.0,-0.016104875,0.0526208168473737,0.0526208168473737,1.0
860000,1.7560009,127.8,0.0,0.025944278,0.22719752514048627,0.22719752514048627,1.0
870000,1.7188069,133.21794871794873,0.0,0.018853689,0.24157936967812577,0.24157936967812577,1.0
880000,1.7003866,134.57142857142858,0.0,0.050122235,0.25953158821378436,0.25953158821378436,1.0
890000,1.7163619,145.45833333333334,0.0,0.0050082775,0.4239085080722968,0.4239085080722968,1.0
900000,1.7162281,136.10294117647058,0.0,-0.010058823,0.24726103095040805,0.24726103095040805,1.0
910000,1.7072122,130.873417721519,0.0,-0.10150536,0.2737090348065654,0.2737090348065654,1.0
920000,1.718359,132.64,0.0,-0.13017823,0.286962814728419,0.286962814728419,1.0
930000,1.7392068,128.25333333333333,0.0,-0.117923215,0.22428014477094013,0.22428014477094013,1.0
940000,1.7115991,137.65753424657535,0.0,-0.13812664,0.3890549611963638,0.3890549611963638,1.0
950000,1.7320813,128.6081081081081,0.0,-0.15791799,0.21625419202688578,0.21625419202688578,1.0
960000,1.739756,152.13846153846154,0.0,-0.17351204,0.4379547206741391,0.4379547206741391,1.0
970000,1.715938,143.05555555555554,0.0,-0.21319613,0.335550176186694,0.335550176186694,1.0
980000,1.6975957,136.66666666666666,0.0,-0.23512088,0.309424178202947,0.309424178202947,1.0
990000,1.712155,119.16666666666667,0.0,-0.22532497,0.09816681039639008,0.09816681039639008,1.0
1000000,1.7516466,139.56338028169014,0.0,-0.16041006,0.33973732377801624,0.33973732377801624,1.0
1010000,1.7297107,129.18666666666667,0.0,-0.20797649,0.24822417656580606,0.24822417656580606,1.0
1020000,1.744665,152.42424242424244,0.0,-0.23157853,0.3699607869440859,0.3699607869440859,1.0
1030000,1.744241,158.09677419354838,0.0,-0.1778349,0.4534541645220348,0.4534541645220348,1.0
1040000,1.7023149,165.63934426229508,0.0,-0.1101068,0.6076835677027702,0.6076835677027702,1.0
1050000,1.7386149,183.05769230769232,0.0,-0.03590242,0.8086040942714765,0.8086040942714765,1.0
1060000,1.6951993,165.21311475409837,0.0,-0.01032337,0.6541379450774584,0.6541379450774584,1.0
1070000,1.7302318,164.53571428571428,0.0,0.029264135,0.6674984735355043,0.6674984735355043,1.0
1080000,1.7108471,192.9,0.0,-0.0086736865,0.8880477103136354,0.8880477103136354,1.0
1090000,1.7219955,174.82456140350877,0.0,0.06223264,0.8448623398254658,0.8448623398254658,1.0
1100000,1.7446618,163.0,0.0,0.095609434,0.581525712036619,0.581525712036619,1.0
1110000,1.7398568,244.79545454545453,0.0,0.12808591,1.484088740376539,1.484088740376539,1.0
1120000,1.7158438,174.59615384615384,0.0,0.121699736,0.693939855076232,0.693939855076232,1.0
1130000,1.7121754,206.37037037037038,0.0,0.120385505,0.9287407049473296,0.9287407049473296,1.0
1140000,1.6982442,182.20408163265307,0.0,0.077470936,0.9681217090359756,0.9681217090359756,1.0
1150000,1.6857647,165.34920634920636,0.0,0.08658657,0.6133928172014378,0.6133928172014378,1.0
1160000,1.7153325,259.1515151515151,0.0,0.1377599,1.561678416845275,1.561678416845275,1.0
1170000,1.6806139,257.5,0.0,0.13853562,1.6219808895413468,1.6219808895413468,1.0
1180000,1.6860355,208.5897435897436,0.0,0.1251363,1.162636208992738,1.162636208992738,1.0
1190000,1.6838187,253.1590909090909,0.0,0.12678823,1.655332196165215,1.655332196165215,1.0
1200000,1.6613338,248.08333333333334,0.0,0.22176312,1.6367045504351456,1.6367045504351456,1.0
1210000,1.6608446,255.54545454545453,0.0,0.24586329,1.6528489002675721,1.6528489002675721,1.0
1220000,1.6861339,251.97222222222223,0.0,0.34400356,1.8029892825418048,1.8029892825418048,1.0
1230000,1.701394,204.06521739130434,1.0,0.32286477,1.1711025092336866,1.1711025092336866,1.0
1240000,1.7244636,171.6,1.0,0.3234784,0.6770180729883057,0.6770180729883057,1.0
1250000,1.7403419,193.20454545454547,1.0,0.31904665,0.9766366596926342,0.9766366596926342,1.0
1260000,1.7531649,228.7608695652174,1.0,0.3785182,1.3032525155855261,1.3032525155855261,1.0
1270000,1.7473351,204.48214285714286,1.0,0.33478817,1.0538324351821626,1.0538324351821626,1.0
1280000,1.745375,164.51724137931035,1.0,0.3786895,0.645231242837577,0.645231242837577,1.0
1290000,1.7491137,188.2941176470588,1.0,0.4339432,0.8552355735617525,0.8552355735617525,1.0
1300000,1.7359569,278.27272727272725,1.0,0.3959171,1.9142776737836273,1.9142776737836273,1.0
1310000,1.7457484,232.56521739130434,1.0,0.37728837,1.3646307555229769,1.3646307555229769,1.0
1320000,1.772674,236.86111111111111,1.0,0.34602308,1.2075946228844778,1.2075946228844778,1.0
1330000,1.7491655,330.09090909090907,1.0,0.28151122,2.6256887404357685,2.6256887404357685,1.0
1340000,1.7632023,288.0,1.0,0.2599409,1.9542118276868548,1.9542118276868548,1.0
1350000,1.8163168,117.55128205128206,2.0,0.19477817,0.11905141671498616,0.11905141671498616,1.0
1360000,1.7924228,141.13432835820896,2.0,0.1837174,0.27618523587041827,0.27618523587041827,1.0
1370000,1.8221503,208.32558139534885,2.0,0.24218711,1.0352979704391125,1.0352979704391125,1.0
1380000,1.8149296,201.9433962264151,2.0,0.22478737,1.0333059312037702,1.0333059312037702,1.0
1390000,1.8006873,241.97619047619048,2.0,0.24180418,1.3880198467068556,1.3880198467068556,1.0
1400000,1.823591,179.5625,2.0,0.21178526,0.8113921071801867,0.8113921071801867,1.0
1410000,1.8014276,227.3913043478261,2.0,0.2756455,1.2067394651796506,1.2067394651796506,1.0
1420000,1.8055621,217.3913043478261,2.0,0.30659992,1.170551402038998,1.170551402038998,1.0
1430000,1.8226708,254.94736842105263,2.0,0.33854914,1.3958424510140168,1.3958424510140168,1.0
1440000,1.814093,228.46153846153845,2.0,0.31064186,1.340175338834524,1.340175338834524,1.0
1450000,1.8644632,223.97826086956522,2.0,0.28720224,1.2952003094885085,1.2952003094885085,1.0
1460000,1.8266164,355.3,2.0,0.30711767,2.608527175585429,2.608527175585429,1.0
1470000,1.8291768,269.625,2.0,0.26951838,1.857606496774789,1.857606496774789,1.0
1480000,1.832965,292.61764705882354,2.0,0.2945931,2.0578792266773456,2.0578792266773456,1.0
1490000,1.8101226,220.0408163265306,2.0,0.3914091,1.2861403512954712,1.2861403512954712,1.0
1500000,1.8099295,247.11111111111111,2.0,0.4020283,1.319707644058437,1.319707644058437,1.0
1510000,1.8215407,267.6470588235294,2.0,0.5167207,1.9102706691703282,1.9102706691703282,1.0
1520000,1.8331902,308.2903225806452,2.0,0.5069744,1.810965927510426,1.810965927510426,1.0
1530000,1.8152119,347.86206896551727,2.0,0.39707565,2.7479037777070077,2.7479037777070077,1.0
1540000,1.8179494,248.9318181818182,2.0,0.36531806,1.5223053619265556,1.5223053619265556,1.0
1550000,1.8312156,311.6551724137931,2.0,0.31185234,2.0708747233663285,2.0708747233663285,1.0
1560000,1.8359777,321.76,2.0,0.35447156,2.297680477499962,2.297680477499962,1.0
1570000,1.8075573,300.38461538461536,2.0,0.27700064,2.0708773846809683,2.0708773846809683,1.0
1580000,1.804696,231.11111111111111,2.0,0.24917975,1.2905203190114762,1.2905203190114762,1.0
1590000,1.8220087,242.1764705882353,2.0,0.29913902,1.418941542506218,1.418941542506218,1.0
1600000,1.8188572,317.8529411764706,2.0,0.28906548,2.269706320236711,2.269706320236711,1.0
1610000,1.7982006,284.0857142857143,2.0,0.46228004,1.8582118562289647,1.8582118562289647,1.0
1620000,1.801161,295.2432432432432,2.0,0.4551599,2.0014382665221757,2.0014382665221757,1.0
1630000,1.79969,292.2258064516129,2.0,0.36284208,1.933026276288494,1.933026276288494,1.0
1640000,1.8118285,289.25,2.0,0.341799,1.9323004285494487,1.9323004285494487,1.0
1650000,1.7815034,320.2413793103448,2.0,0.35693035,2.286364721400397,2.286364721400397,1.0
1660000,1.7762797,328.6333333333333,2.0,0.3312543,2.4612779598082266,2.4612779598082266,1.0
1670000,1.7561787,320.5357142857143,2.0,0.42926213,2.3217219188809395,2.3217219188809395,1.0
1680000,1.768298,361.2142857142857,2.0,0.46960798,2.9238934431757246,2.9238934431757246,1.0
1690000,1.7699465,449.7826086956522,2.0,0.4922285,3.897392011207083,3.897392011207083,1.0
1700000,1.7873647,350.5,2.0,0.4890318,2.732233878225088,2.732233878225088,1.0
1710000,1.769812,469.4583333333333,2.0,0.49704176,4.238225769251585,4.238225769251585,1.0
1720000,1.7507116,406.4,2.0,0.49493593,3.5130806159973145,3.5130806159973145,1.0
1730000,1.7487928,344.34615384615387,2.0,0.49916044,2.8089389961499434,2.8089389961499434,1.0
1740000,1.7706755,442.6111111111111,2.0,0.5319336,3.6597889837096718,3.6597889837096718,1.0
1750000,1.7410259,401.0689655172414,2.0,0.55411434,3.655187393228213,3.655187393228213,1.0
1760000,1.7326757,505.875,2.0,0.5860552,4.681042519708474,4.681042519708474,1.0
1770000,1.743571,300.9310344827586,2.0,0.6454081,2.2157659828662872,2.2157659828662872,1.0
1780000,1.7187452,382.5833333333333,2.0,0.6825267,3.201365837584371,3.201365837584371,1.0
1790000,1.7371663,465.0,2.0,0.6985266,4.257722550112268,4.257722550112268,1.0
1800000,1.7686758,448.7083333333333,2.0,0.69243234,4.279884075125058,4.279884075125058,1.0
1810000,1.7551581,390.69565217391306,2.0,0.7035859,3.526846104047515,3.526846104047515,1.0
1820000,1.7670194,477.25,3.0,0.70178854,4.191836109932731,4.191836109932731,1.0
1830000,1.8117889,242.14814814814815,3.0,0.72026086,1.460933690821683,1.460933690821683,1.0
1840000,1.7706734,456.64,3.0,0.7925499,4.1218090330561,4.1218090330561,1.0
1850000,1.7778915,307.475,3.0,0.742329,2.2991636599365033,2.2991636599365033,1.0
1860000,1.7298144,216.2,3.0,0.7876806,1.3964351402676625,1.3964351402676625,1.0
1870000,1.7325488,560.5,3.0,0.80724245,5.27321141173965,5.27321141173965,1.0
1880000,1.7322235,589.0833333333334,3.0,0.85524243,5.898001139654832,5.898001139654832,1.0
1890000,1.7455438,481.2307692307692,3.0,0.80827767,4.272852985755257,4.272852985755257,1.0
1900000,1.7530786,379.3333333333333,3.0,0.88348734,3.592375678320726,3.592375678320726,1.0
1910000,1.7281638,392.7878787878788,3.0,0.8709439,3.4040806313355763,3.4040806313355763,1.0
1920000,1.7684677,392.53333333333336,3.0,0.8556148,3.250034006105529,3.250034006105529,1.0
1930000,1.773622,354.06060606060606,3.0,0.80301386,3.054473320643107,3.054473320643107,1.0
1940000,1.7407427,398.48148148148147,3.0,0.7386037,3.607031448529317,3.607031448529317,1.0
1950000,1.7348831,322.6666666666667,3.0,0.7585983,2.461400504816662,2.461400504816662,1.0
1960000,1.7243794,515.6818181818181,3.0,0.71630806,5.0063190378926015,5.0063190378926015,1.0
1970000,1.7234111,488.3125,3.0,0.7334024,4.8236258663237095,4.8236258663237095,1.0
1980000,1.7209775,450.4230769230769,3.0,0.6812303,4.472008472451797,4.472008472451797,1.0
1990000,1.7202452,438.7083333333333,3.0,0.65025383,4.1022167646884915,4.1022167646884915,1.0
2000000,1.6938989,416.52,3.0,0.61896265,3.9497590474784374,3.9497590474784374,1.0
2010000,1.6845233,449.9230769230769,3.0,0.6416183,4.244272202253342,4.244272202253342,1.0
2020000,1.6804861,626.8636363636364,3.0,0.62993205,6.675877275921049,6.675877275921049,1.0
